id,title,author,format,status,read,pct_complete,first_seen,last_seen,events,sources,note_file,deleted
steve-jobs-unabridged,Steve Jobs (Unabridged),,,wishlist,,,2022-02-15,,1,audible-wishlist,,
chapman-piloting-seamanship-69th-edition,"Chapman Piloting & Seamanship, 69th Edition",,print,owned,,,2022-02-14,,1,amazon-print; shelf-photo,,
the-elements-of-rhetoric-how-to-write-and-speak-clearly,The Elements of Rhetoric -- How to Write and Speak Clearly and Persuasively: A,,print,owned,,,2022-02-14,,1,amazon-print,,
economics-in-one-lesson-unabridged,Economics in One Lesson (Unabridged),,,wishlist,,,2022-01-19,,1,audible-wishlist,,
illuminate-ignite-change-through-speeches-stories-ceremo,"Illuminate: Ignite Change Through Speeches, Stories, Ceremonies, and Symbols (",,,wishlist,,,2022-01-17,,1,audible-wishlist,,
to-balance-on-bridges-rhiannon-giddens,To Balance on Bridges,Rhiannon Giddens,audiobook,owned,,59,2021-12-27,,1,audible,,
deep-soul-lowdown-gary-clark-jr,Deep Soul Lowdown,Gary Clark Jr.,audiobook,owned,,,2021-12-27,,1,audible,,
project-hail-mary-unabridged-andy-weir,Project Hail Mary (Unabridged),Andy Weir,audiobook,finished,yes,100,2021-12-26,2022-02-06,2,audible; audible-wishlist,,
black-white-and-the-grey-the-story-of-an-unexpected-frie,"Black, White, and The Grey: The Story of an Unexpected Friendship and a Belove",,,wishlist,,,2021-12-26,,1,audible-wishlist,,
the-love-songs-of-w-e-b-du-bois-an-oprah-s-book-club-nov,The Love Songs of W.E.B. Du Bois: An Oprah’s Book Club Novel (Unabridged),,,wishlist,,,2021-12-26,,1,audible-wishlist,,
the-code-breaker-jennifer-doudna-gene-editing-and-the-fu,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human R",,,wishlist,,,2021-12-26,,1,audible-wishlist,,
bourdain-laurie-woolever,Bourdain,Laurie Woolever,audiobook,owned,,7,2021-12-12,,1,audible,,
love-warrior-a-memoir-unabridged-glennon-doyle-glennon-d,Love Warrior: A Memoir (Unabridged),"Glennon Doyle,Glennon Doyle Melton",audiobook,finished,yes,100,2021-11-29,,2,audible; audible-wishlist,,
untamed-unabridged,Untamed (Unabridged),,,wishlist,,,2021-11-29,,1,audible-wishlist,,
amazon-s-free-hq-tour-the-amazon-hq-tours-team,Amazon’s Free HQ Tour,The Amazon HQ Tours Team,audiobook,owned,,,2021-11-13,,1,audible,,
think-again-the-power-of-knowing-what-you-don-t-know-una,Think Again: The Power of Knowing What You Don't Know (Unabridged),Adam Grant,library,wishlist,,,2021-11-07,2024-01-17,2,audible-wishlist; libby,,
on-grand-strategy-unabridged-john-lewis-gaddis,On Grand Strategy (Unabridged),John Lewis Gaddis,library,wishlist,,,2021-11-07,2023-07-21,2,audible-wishlist; libby,,
the-body-keeps-the-score-bessel-van-der-kolk,The Body Keeps the Score,Bessel Van Der Kolk,audiobook+library,wishlist,,2,2021-11-07,2025-10-04,4,audible; audible-wishlist; libby,,
the-four-scott-galloway,The Four,Scott Galloway,audiobook,wishlist,,5,2021-11-07,2021-11-29,2,audible; audible-wishlist,,
the-art-of-gathering-how-we-meet-and-why-it-matters-unab,The Art of Gathering: How We Meet and Why It Matters (Unabridged),,,wishlist,,,2021-11-07,,1,audible-wishlist,,
linchpin-are-you-indispensable-unabridged,Linchpin: Are You Indispensable? (Unabridged),,,wishlist,,,2021-11-07,,1,audible-wishlist,,
white-fragility-why-it-s-so-hard-for-white-people-to-tal,White Fragility: Why It's So Hard for White People to Talk About Racism (Unabr,,,wishlist,,,2021-11-04,,1,audible-wishlist,,
why-are-all-the-black-kids-sitting-together-in-the-cafet,Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conve,,,wishlist,,,2021-11-04,,1,audible-wishlist,,
